segment_type,segment_value,rank,skill_canonical,skill_category,job_count,demand_score,demand_rank,senior_mentions,mid_mentions,entry_mentions,seniority_skew,gap_signal_score,is_emerging_gap
global,all,1,Data Engineering,data_ml_ai,1711.0,0.3986,,,,,,,
global,all,2,iOS Development,mobile,953.0,0.222,,,,,,,
global,all,3,Event-Driven Architecture,tools_practices,589.0,0.1372,,,,,,,
global,all,4,Service Mesh,tools_practices,569.0,0.1325,,,,,,,
global,all,5,API Design,tools_practices,541.0,0.126,,,,,,,
global,all,6,Statistical Analysis,data_ml_ai,438.0,0.102,,,,,,,
global,all,7,Design Patterns,tools_practices,323.0,0.0752,,,,,,,
global,all,8,Cross-Platform Development,mobile,322.0,0.075,,,,,,,
global,all,9,Recommendation Systems,data_ml_ai,301.0,0.0701,,,,,,,
global,all,10,Cassandra,databases,221.0,0.0515,,,,,,,
global,all,11,Digital Forensics,cybersecurity,195.0,0.0454,,,,,,,
global,all,12,Domain-Driven Design,tools_practices,118.0,0.0275,,,,,,,
global,all,13,Adobe XD,tools_practices,114.0,0.0266,,,,,,,
global,all,14,GDPR Compliance,cybersecurity,80.0,0.0186,,,,,,,
global,all,15,Java,programming_languages,75.0,0.0175,,,,,,,
global,all,16,SQL,programming_languages,73.0,0.017,,,,,,,
global,all,17,Python,programming_languages,69.0,0.0161,,,,,,,
global,all,18,Application Security,cybersecurity,67.0,0.0156,,,,,,,
global,all,19,Power BI,data_ml_ai,65.0,0.0151,,,,,,,
global,all,20,JavaScript,programming_languages,63.0,0.0147,,,,,,,
role,Backend,1,iOS Development,mobile,32.0,0.8,,,,,,,
role,Backend,2,Data Engineering,data_ml_ai,20.0,0.5,,,,,,,
role,Backend,3,API Design,tools_practices,16.0,0.4,,,,,,,
role,Backend,4,Git,tools_practices,15.0,0.375,,,,,,,
role,Backend,5,REST API,frameworks_libraries,13.0,0.325,,,,,,,
role,Backend,6,Java,programming_languages,12.0,0.3,,,,,,,
role,Backend,7,.NET,frameworks_libraries,12.0,0.3,,,,,,,
role,Backend,8,Python,programming_languages,10.0,0.25,,,,,,,
role,Backend,9,ASP.NET,frameworks_libraries,9.0,0.225,,,,,,,
role,Backend,10,SQL,programming_languages,8.0,0.2,,,,,,,
role,Cybersecurity,1,Data Engineering,data_ml_ai,7.0,1.0,,,,,,,
role,Cybersecurity,2,iOS Development,mobile,7.0,1.0,,,,,,,
role,Cybersecurity,3,Application Security,cybersecurity,6.0,0.8571,,,,,,,
role,Cybersecurity,4,Network Security,cybersecurity,4.0,0.5714,,,,,,,
role,Cybersecurity,5,Firewalls,cybersecurity,3.0,0.4286,,,,,,,
role,Cybersecurity,6,Recommendation Systems,data_ml_ai,3.0,0.4286,,,,,,,
role,Cybersecurity,7,Cybersecurity,cybersecurity,2.0,0.2857,,,,,,,
role,Cybersecurity,8,Cassandra,databases,1.0,0.1429,,,,,,,
role,Cybersecurity,9,Design Patterns,tools_practices,1.0,0.1429,,,,,,,
role,Cybersecurity,10,DNS,devops_cloud,1.0,0.1429,,,,,,,
role,Data Engineering,1,Data Engineering,data_ml_ai,11.0,1.0,,,,,,,
role,Data Engineering,2,Python,programming_languages,8.0,0.7273,,,,,,,
role,Data Engineering,3,SQL,programming_languages,6.0,0.5455,,,,,,,
role,Data Engineering,4,AWS,devops_cloud,5.0,0.4545,,,,,,,
role,Data Engineering,5,Airflow,frameworks_libraries,5.0,0.4545,,,,,,,
role,Data Engineering,6,iOS Development,mobile,4.0,0.3636,,,,,,,
role,Data Engineering,7,Docker,devops_cloud,4.0,0.3636,,,,,,,
role,Data Engineering,8,Apache Spark,frameworks_libraries,4.0,0.3636,,,,,,,
role,Data Engineering,9,Apache,devops_cloud,4.0,0.3636,,,,,,,
role,Data Engineering,10,Git,tools_practices,3.0,0.2727,,,,,,,
role,Data Science / ML,1,Data Engineering,data_ml_ai,23.0,0.7419,,,,,,,
role,Data Science / ML,2,iOS Development,mobile,20.0,0.6452,,,,,,,
role,Data Science / ML,3,Python,programming_languages,18.0,0.5806,,,,,,,
role,Data Science / ML,4,Statistical Analysis,data_ml_ai,14.0,0.4516,,,,,,,
role,Data Science / ML,5,Machine Learning,data_ml_ai,9.0,0.2903,,,,,,,
role,Data Science / ML,6,Deep Learning,data_ml_ai,9.0,0.2903,,,,,,,
role,Data Science / ML,7,Power BI,data_ml_ai,9.0,0.2903,,,,,,,
role,Data Science / ML,8,SQL,programming_languages,7.0,0.2258,,,,,,,
role,Data Science / ML,9,Generative AI,data_ml_ai,5.0,0.1613,,,,,,,
role,Data Science / ML,10,Large Language Models,data_ml_ai,5.0,0.1613,,,,,,,
role,DevOps / Cloud,1,Data Engineering,data_ml_ai,30.0,0.9677,,,,,,,
role,DevOps / Cloud,2,iOS Development,mobile,14.0,0.4516,,,,,,,
role,DevOps / Cloud,3,Azure DevOps,devops_cloud,9.0,0.2903,,,,,,,
role,DevOps / Cloud,4,Event-Driven Architecture,tools_practices,9.0,0.2903,,,,,,,
role,DevOps / Cloud,5,CI/CD,devops_cloud,8.0,0.2581,,,,,,,
role,DevOps / Cloud,6,Kubernetes,devops_cloud,8.0,0.2581,,,,,,,
role,DevOps / Cloud,7,AWS,devops_cloud,8.0,0.2581,,,,,,,
role,DevOps / Cloud,8,Docker,devops_cloud,7.0,0.2258,,,,,,,
role,DevOps / Cloud,9,Network Security,cybersecurity,7.0,0.2258,,,,,,,
role,DevOps / Cloud,10,Git,tools_practices,7.0,0.2258,,,,,,,
role,Frontend,1,JavaScript,programming_languages,22.0,0.7586,,,,,,,
role,Frontend,2,Java,programming_languages,20.0,0.6897,,,,,,,
role,Frontend,3,iOS Development,mobile,17.0,0.5862,,,,,,,
role,Frontend,4,React,frameworks_libraries,16.0,0.5517,,,,,,,
role,Frontend,5,TypeScript,programming_languages,14.0,0.4828,,,,,,,
role,Frontend,6,API Design,tools_practices,12.0,0.4138,,,,,,,
role,Frontend,7,Git,tools_practices,11.0,0.3793,,,,,,,
role,Frontend,8,Data Engineering,data_ml_ai,10.0,0.3448,,,,,,,
role,Frontend,9,REST API,frameworks_libraries,9.0,0.3103,,,,,,,
role,Frontend,10,Angular,frameworks_libraries,8.0,0.2759,,,,,,,
role,Full Stack,1,iOS Development,mobile,26.0,0.8966,,,,,,,
role,Full Stack,2,ELK Stack,devops_cloud,23.0,0.7931,,,,,,,
role,Full Stack,3,Data Engineering,data_ml_ai,22.0,0.7586,,,,,,,
role,Full Stack,4,JavaScript,programming_languages,14.0,0.4828,,,,,,,
role,Full Stack,5,Java,programming_languages,14.0,0.4828,,,,,,,
role,Full Stack,6,Node.js,frameworks_libraries,10.0,0.3448,,,,,,,
role,Full Stack,7,API Design,tools_practices,10.0,0.3448,,,,,,,
role,Full Stack,8,React,frameworks_libraries,10.0,0.3448,,,,,,,
role,Full Stack,9,Cross-Platform Development,mobile,9.0,0.3103,,,,,,,
role,Full Stack,10,.NET,frameworks_libraries,8.0,0.2759,,,,,,,
role,Mobile,1,iOS Development,mobile,12.0,0.75,,,,,,,
role,Mobile,2,REST API,frameworks_libraries,9.0,0.5625,,,,,,,
role,Mobile,3,Data Engineering,data_ml_ai,8.0,0.5,,,,,,,
role,Mobile,4,Git,tools_practices,8.0,0.5,,,,,,,
role,Mobile,5,Android Development,mobile,7.0,0.4375,,,,,,,
role,Mobile,6,Java,programming_languages,7.0,0.4375,,,,,,,
role,Mobile,7,Mobile UI Design,mobile,7.0,0.4375,,,,,,,
role,Mobile,8,API Design,tools_practices,6.0,0.375,,,,,,,
role,Mobile,9,React,frameworks_libraries,5.0,0.3125,,,,,,,
role,Mobile,10,Design Patterns,tools_practices,5.0,0.3125,,,,,,,
role,Other Tech,1,Data Engineering,data_ml_ai,1551.0,0.4765,,,,,,,
role,Other Tech,2,iOS Development,mobile,806.0,0.2476,,,,,,,
role,Other Tech,3,Event-Driven Architecture,tools_practices,570.0,0.1751,,,,,,,
role,Other Tech,4,Service Mesh,tools_practices,563.0,0.173,,,,,,,
role,Other Tech,5,API Design,tools_practices,482.0,0.1481,,,,,,,
role,Other Tech,6,Statistical Analysis,data_ml_ai,417.0,0.1281,,,,,,,
role,Other Tech,7,Design Patterns,tools_practices,301.0,0.0925,,,,,,,
role,Other Tech,8,Cross-Platform Development,mobile,293.0,0.09,,,,,,,
role,Other Tech,9,Recommendation Systems,data_ml_ai,286.0,0.0879,,,,,,,
role,Other Tech,10,Cassandra,databases,216.0,0.0664,,,,,,,
role,QA / Testing,1,Data Engineering,data_ml_ai,26.0,0.5417,,,,,,,
role,QA / Testing,2,A/B Testing,data_ml_ai,13.0,0.2708,,,,,,,
role,QA / Testing,3,iOS Development,mobile,11.0,0.2292,,,,,,,
role,QA / Testing,4,ISO 27001,cybersecurity,8.0,0.1667,,,,,,,
role,QA / Testing,5,Statistical Analysis,data_ml_ai,7.0,0.1458,,,,,,,
role,QA / Testing,6,Agile,tools_practices,7.0,0.1458,,,,,,,
role,QA / Testing,7,API Design,tools_practices,6.0,0.125,,,,,,,
role,QA / Testing,8,Penetration Testing,cybersecurity,6.0,0.125,,,,,,,
role,QA / Testing,9,Jira,tools_practices,5.0,0.1042,,,,,,,
role,QA / Testing,10,Selenium,tools_practices,5.0,0.1042,,,,,,,
role,UI/UX,1,API Design,tools_practices,4.0,0.8,,,,,,,
role,UI/UX,2,Design Patterns,tools_practices,4.0,0.8,,,,,,,
role,UI/UX,3,iOS Development,mobile,4.0,0.8,,,,,,,
role,UI/UX,4,Mobile UI Design,mobile,4.0,0.8,,,,,,,
role,UI/UX,5,Data Engineering,data_ml_ai,3.0,0.6,,,,,,,
role,UI/UX,6,Domain-Driven Design,tools_practices,1.0,0.2,,,,,,,
role,UI/UX,7,Cross-Platform Development,mobile,1.0,0.2,,,,,,,
role,UI/UX,8,Application Security,cybersecurity,1.0,0.2,,,,,,,
role,UI/UX,9,Java,programming_languages,1.0,0.2,,,,,,,
role,UI/UX,10,Figma,tools_practices,1.0,0.2,,,,,,,
seniority,Entry,1,Data Engineering,data_ml_ai,331.0,0.3323,,,,,,,
seniority,Entry,2,Service Mesh,tools_practices,248.0,0.249,,,,,,,
seniority,Entry,3,iOS Development,mobile,218.0,0.2189,,,,,,,
seniority,Entry,4,API Design,tools_practices,113.0,0.1135,,,,,,,
seniority,Entry,5,Design Patterns,tools_practices,81.0,0.0813,,,,,,,
seniority,Entry,6,Event-Driven Architecture,tools_practices,79.0,0.0793,,,,,,,
seniority,Entry,7,Cross-Platform Development,mobile,77.0,0.0773,,,,,,,
seniority,Entry,8,Statistical Analysis,data_ml_ai,61.0,0.0612,,,,,,,
seniority,Entry,9,Recommendation Systems,data_ml_ai,46.0,0.0462,,,,,,,
seniority,Entry,10,Cassandra,databases,39.0,0.0392,,,,,,,
seniority,Mid,1,Data Engineering,data_ml_ai,1124.0,0.4727,,,,,,,
seniority,Mid,2,iOS Development,mobile,535.0,0.225,,,,,,,
seniority,Mid,3,Event-Driven Architecture,tools_practices,421.0,0.177,,,,,,,
seniority,Mid,4,API Design,tools_practices,368.0,0.1548,,,,,,,
seniority,Mid,5,Statistical Analysis,data_ml_ai,252.0,0.106,,,,,,,
seniority,Mid,6,Design Patterns,tools_practices,220.0,0.0925,,,,,,,
seniority,Mid,7,Service Mesh,tools_practices,211.0,0.0887,,,,,,,
seniority,Mid,8,Recommendation Systems,data_ml_ai,193.0,0.0812,,,,,,,
seniority,Mid,9,Cross-Platform Development,mobile,167.0,0.0702,,,,,,,
seniority,Mid,10,Cassandra,databases,125.0,0.0526,,,,,,,
seniority,Senior,1,Data Engineering,data_ml_ai,251.0,0.2749,,,,,,,
seniority,Senior,2,iOS Development,mobile,200.0,0.2191,,,,,,,
seniority,Senior,3,Statistical Analysis,data_ml_ai,125.0,0.1369,,,,,,,
seniority,Senior,4,Service Mesh,tools_practices,110.0,0.1205,,,,,,,
seniority,Senior,5,Event-Driven Architecture,tools_practices,89.0,0.0975,,,,,,,
seniority,Senior,6,Cross-Platform Development,mobile,78.0,0.0854,,,,,,,
seniority,Senior,7,Recommendation Systems,data_ml_ai,62.0,0.0679,,,,,,,
seniority,Senior,8,API Design,tools_practices,60.0,0.0657,,,,,,,
seniority,Senior,9,Cassandra,databases,57.0,0.0624,,,,,,,
seniority,Senior,10,Digital Forensics,cybersecurity,54.0,0.0591,,,,,,,
city,Alexandria,1,Data Engineering,data_ml_ai,5.0,0.2941,,,,,,,
city,Alexandria,2,API Design,tools_practices,3.0,0.1765,,,,,,,
city,Alexandria,3,Git,tools_practices,3.0,0.1765,,,,,,,
city,Alexandria,4,Service Mesh,tools_practices,3.0,0.1765,,,,,,,
city,Alexandria,5,REST API,frameworks_libraries,3.0,0.1765,,,,,,,
city,Alexandria,6,Java,programming_languages,2.0,0.1176,,,,,,,
city,Alexandria,7,Recommendation Systems,data_ml_ai,2.0,0.1176,,,,,,,
city,Alexandria,8,JavaScript,programming_languages,2.0,0.1176,,,,,,,
city,Alexandria,9,Django,frameworks_libraries,1.0,0.0588,,,,,,,
city,Alexandria,10,Docker,devops_cloud,1.0,0.0588,,,,,,,
city,Cairo,1,Data Engineering,data_ml_ai,58.0,0.3742,,,,,,,
city,Cairo,2,API Design,tools_practices,34.0,0.2194,,,,,,,
city,Cairo,3,Git,tools_practices,31.0,0.2,,,,,,,
city,Cairo,4,Docker,devops_cloud,26.0,0.1677,,,,,,,
city,Cairo,5,REST API,frameworks_libraries,25.0,0.1613,,,,,,,
city,Cairo,6,Python,programming_languages,24.0,0.1548,,,,,,,
city,Cairo,7,iOS Development,mobile,24.0,0.1548,,,,,,,
city,Cairo,8,Service Mesh,tools_practices,21.0,0.1355,,,,,,,
city,Cairo,9,Event-Driven Architecture,tools_practices,16.0,0.1032,,,,,,,
city,Cairo,10,Java,programming_languages,16.0,0.1032,,,,,,,
city,Damietta,1,Data Engineering,data_ml_ai,2.0,1.0,,,,,,,
city,Damietta,2,Event-Driven Architecture,tools_practices,2.0,1.0,,,,,,,
city,Egypt 1 day ago,1,Data Engineering,data_ml_ai,21.0,0.4038,,,,,,,
city,Egypt 1 day ago,2,Event-Driven Architecture,tools_practices,9.0,0.1731,,,,,,,
city,Egypt 1 day ago,3,iOS Development,mobile,7.0,0.1346,,,,,,,
city,Egypt 1 day ago,4,Service Mesh,tools_practices,7.0,0.1346,,,,,,,
city,Egypt 1 day ago,5,API Design,tools_practices,6.0,0.1154,,,,,,,
city,Egypt 1 day ago,6,Design Patterns,tools_practices,4.0,0.0769,,,,,,,
city,Egypt 1 day ago,7,Statistical Analysis,data_ml_ai,3.0,0.0577,,,,,,,
city,Egypt 1 day ago,8,Digital Forensics,cybersecurity,3.0,0.0577,,,,,,,
city,Egypt 1 day ago,9,Cassandra,databases,3.0,0.0577,,,,,,,
city,Egypt 1 day ago,10,Azure,devops_cloud,2.0,0.0385,,,,,,,
city,Egypt 1 month ago,1,Data Engineering,data_ml_ai,406.0,0.4016,,,,,,,
city,Egypt 1 month ago,2,iOS Development,mobile,236.0,0.2334,,,,,,,
city,Egypt 1 month ago,3,Event-Driven Architecture,tools_practices,159.0,0.1573,,,,,,,
city,Egypt 1 month ago,4,Service Mesh,tools_practices,131.0,0.1296,,,,,,,
city,Egypt 1 month ago,5,Statistical Analysis,data_ml_ai,127.0,0.1256,,,,,,,
city,Egypt 1 month ago,6,API Design,tools_practices,123.0,0.1217,,,,,,,
city,Egypt 1 month ago,7,Design Patterns,tools_practices,80.0,0.0791,,,,,,,
city,Egypt 1 month ago,8,Cross-Platform Development,mobile,73.0,0.0722,,,,,,,
city,Egypt 1 month ago,9,Recommendation Systems,data_ml_ai,72.0,0.0712,,,,,,,
city,Egypt 1 month ago,10,Cassandra,databases,58.0,0.0574,,,,,,,
city,Egypt 10 days ago,1,Data Engineering,data_ml_ai,61.0,0.4729,,,,,,,
city,Egypt 10 days ago,2,iOS Development,mobile,27.0,0.2093,,,,,,,
city,Egypt 10 days ago,3,API Design,tools_practices,17.0,0.1318,,,,,,,
city,Egypt 10 days ago,4,Event-Driven Architecture,tools_practices,17.0,0.1318,,,,,,,
city,Egypt 10 days ago,5,Design Patterns,tools_practices,13.0,0.1008,,,,,,,
city,Egypt 10 days ago,6,Statistical Analysis,data_ml_ai,13.0,0.1008,,,,,,,
city,Egypt 10 days ago,7,Service Mesh,tools_practices,10.0,0.0775,,,,,,,
city,Egypt 10 days ago,8,Cross-Platform Development,mobile,8.0,0.062,,,,,,,
city,Egypt 10 days ago,9,Digital Forensics,cybersecurity,7.0,0.0543,,,,,,,
city,Egypt 10 days ago,10,Domain-Driven Design,tools_practices,7.0,0.0543,,,,,,,
city,Egypt 10 hours ago,1,Data Engineering,data_ml_ai,9.0,0.4286,,,,,,,
city,Egypt 10 hours ago,2,Event-Driven Architecture,tools_practices,5.0,0.2381,,,,,,,
city,Egypt 10 hours ago,3,iOS Development,mobile,5.0,0.2381,,,,,,,
city,Egypt 10 hours ago,4,Service Mesh,tools_practices,4.0,0.1905,,,,,,,
city,Egypt 10 hours ago,5,Statistical Analysis,data_ml_ai,2.0,0.0952,,,,,,,
city,Egypt 10 hours ago,6,Digital Forensics,cybersecurity,2.0,0.0952,,,,,,,
city,Egypt 10 hours ago,7,Cybersecurity,cybersecurity,1.0,0.0476,,,,,,,
city,Egypt 10 hours ago,8,Domain-Driven Design,tools_practices,1.0,0.0476,,,,,,,
city,Egypt 10 hours ago,9,API Design,tools_practices,1.0,0.0476,,,,,,,
city,Egypt 10 hours ago,10,Application Security,cybersecurity,1.0,0.0476,,,,,,,
city,Egypt 11 days ago,1,Data Engineering,data_ml_ai,43.0,0.5119,,,,,,,
city,Egypt 11 days ago,2,iOS Development,mobile,24.0,0.2857,,,,,,,
city,Egypt 11 days ago,3,Service Mesh,tools_practices,13.0,0.1548,,,,,,,
city,Egypt 11 days ago,4,API Design,tools_practices,11.0,0.131,,,,,,,
city,Egypt 11 days ago,5,Design Patterns,tools_practices,9.0,0.1071,,,,,,,
city,Egypt 11 days ago,6,Event-Driven Architecture,tools_practices,9.0,0.1071,,,,,,,
city,Egypt 11 days ago,7,Recommendation Systems,data_ml_ai,8.0,0.0952,,,,,,,
city,Egypt 11 days ago,8,Statistical Analysis,data_ml_ai,7.0,0.0833,,,,,,,
city,Egypt 11 days ago,9,Cross-Platform Development,mobile,7.0,0.0833,,,,,,,
city,Egypt 11 days ago,10,Adobe XD,tools_practices,5.0,0.0595,,,,,,,
city,Egypt 11 hours ago,1,Data Engineering,data_ml_ai,13.0,0.5417,,,,,,,
city,Egypt 11 hours ago,2,iOS Development,mobile,8.0,0.3333,,,,,,,
city,Egypt 11 hours ago,3,Event-Driven Architecture,tools_practices,4.0,0.1667,,,,,,,
city,Egypt 11 hours ago,4,Service Mesh,tools_practices,3.0,0.125,,,,,,,
city,Egypt 11 hours ago,5,Cross-Platform Development,mobile,3.0,0.125,,,,,,,
city,Egypt 11 hours ago,6,API Design,tools_practices,2.0,0.0833,,,,,,,
city,Egypt 11 hours ago,7,Statistical Analysis,data_ml_ai,2.0,0.0833,,,,,,,
city,Egypt 11 hours ago,8,Digital Forensics,cybersecurity,2.0,0.0833,,,,,,,
city,Egypt 11 hours ago,9,Power BI,data_ml_ai,2.0,0.0833,,,,,,,
city,Egypt 11 hours ago,10,Computer Vision,data_ml_ai,1.0,0.0417,,,,,,,
city,Egypt 12 days ago,1,Data Engineering,data_ml_ai,8.0,0.4211,,,,,,,
city,Egypt 12 days ago,2,iOS Development,mobile,7.0,0.3684,,,,,,,
city,Egypt 12 days ago,3,API Design,tools_practices,5.0,0.2632,,,,,,,
city,Egypt 12 days ago,4,Recommendation Systems,data_ml_ai,3.0,0.1579,,,,,,,
city,Egypt 12 days ago,5,Service Mesh,tools_practices,3.0,0.1579,,,,,,,
city,Egypt 12 days ago,6,Design Patterns,tools_practices,2.0,0.1053,,,,,,,
city,Egypt 12 days ago,7,Cross-Platform Development,mobile,2.0,0.1053,,,,,,,
city,Egypt 12 days ago,8,Bootstrap,frameworks_libraries,1.0,0.0526,,,,,,,
city,Egypt 12 days ago,9,Adobe XD,tools_practices,1.0,0.0526,,,,,,,
city,Egypt 12 days ago,10,Domain-Driven Design,tools_practices,1.0,0.0526,,,,,,,
city,Egypt 12 hours ago,1,Data Engineering,data_ml_ai,14.0,0.5185,,,,,,,
city,Egypt 12 hours ago,2,Event-Driven Architecture,tools_practices,7.0,0.2593,,,,,,,
city,Egypt 12 hours ago,3,iOS Development,mobile,7.0,0.2593,,,,,,,
city,Egypt 12 hours ago,4,API Design,tools_practices,5.0,0.1852,,,,,,,
city,Egypt 12 hours ago,5,Design Patterns,tools_practices,3.0,0.1111,,,,,,,
city,Egypt 12 hours ago,6,Domain-Driven Design,tools_practices,2.0,0.0741,,,,,,,
city,Egypt 12 hours ago,7,Cross-Platform Development,mobile,2.0,0.0741,,,,,,,
city,Egypt 12 hours ago,8,Computer Vision,data_ml_ai,2.0,0.0741,,,,,,,
city,Egypt 12 hours ago,9,Service Mesh,tools_practices,2.0,0.0741,,,,,,,
city,Egypt 12 hours ago,10,Adobe XD,tools_practices,1.0,0.037,,,,,,,
city,Egypt 13 days ago,1,Data Engineering,data_ml_ai,24.0,0.4444,,,,,,,
city,Egypt 13 days ago,2,iOS Development,mobile,16.0,0.2963,,,,,,,
city,Egypt 13 days ago,3,Service Mesh,tools_practices,13.0,0.2407,,,,,,,
city,Egypt 13 days ago,4,Cross-Platform Development,mobile,8.0,0.1481,,,,,,,
city,Egypt 13 days ago,5,API Design,tools_practices,7.0,0.1296,,,,,,,
city,Egypt 13 days ago,6,Statistical Analysis,data_ml_ai,7.0,0.1296,,,,,,,
city,Egypt 13 days ago,7,Event-Driven Architecture,tools_practices,6.0,0.1111,,,,,,,
city,Egypt 13 days ago,8,Python,programming_languages,4.0,0.0741,,,,,,,
city,Egypt 13 days ago,9,Recommendation Systems,data_ml_ai,3.0,0.0556,,,,,,,
city,Egypt 13 days ago,10,Design Patterns,tools_practices,3.0,0.0556,,,,,,,
city,Egypt 13 hours ago,1,Data Engineering,data_ml_ai,10.0,0.5263,,,,,,,
city,Egypt 13 hours ago,2,Event-Driven Architecture,tools_practices,5.0,0.2632,,,,,,,
city,Egypt 13 hours ago,3,Service Mesh,tools_practices,3.0,0.1579,,,,,,,
city,Egypt 13 hours ago,4,API Design,tools_practices,3.0,0.1579,,,,,,,
city,Egypt 13 hours ago,5,Digital Forensics,cybersecurity,2.0,0.1053,,,,,,,
city,Egypt 13 hours ago,6,Cassandra,databases,2.0,0.1053,,,,,,,
city,Egypt 13 hours ago,7,Domain-Driven Design,tools_practices,2.0,0.1053,,,,,,,
city,Egypt 13 hours ago,8,Design Patterns,tools_practices,2.0,0.1053,,,,,,,
city,Egypt 13 hours ago,9,Airflow,frameworks_libraries,1.0,0.0526,,,,,,,
city,Egypt 13 hours ago,10,Recommendation Systems,data_ml_ai,1.0,0.0526,,,,,,,
city,Egypt 14 days ago,1,Data Engineering,data_ml_ai,57.0,0.5089,,,,,,,
city,Egypt 14 days ago,2,iOS Development,mobile,25.0,0.2232,,,,,,,
city,Egypt 14 days ago,3,API Design,tools_practices,22.0,0.1964,,,,,,,
city,Egypt 14 days ago,4,Event-Driven Architecture,tools_practices,16.0,0.1429,,,,,,,
city,Egypt 14 days ago,5,Design Patterns,tools_practices,14.0,0.125,,,,,,,
city,Egypt 14 days ago,6,Service Mesh,tools_practices,14.0,0.125,,,,,,,
city,Egypt 14 days ago,7,Cross-Platform Development,mobile,11.0,0.0982,,,,,,,
city,Egypt 14 days ago,8,Digital Forensics,cybersecurity,6.0,0.0536,,,,,,,
city,Egypt 14 days ago,9,Adobe XD,tools_practices,6.0,0.0536,,,,,,,
city,Egypt 14 days ago,10,Statistical Analysis,data_ml_ai,6.0,0.0536,,,,,,,
city,Egypt 14 hours ago,1,Data Engineering,data_ml_ai,7.0,0.4667,,,,,,,
city,Egypt 14 hours ago,2,Service Mesh,tools_practices,4.0,0.2667,,,,,,,
city,Egypt 14 hours ago,3,API Design,tools_practices,2.0,0.1333,,,,,,,
city,Egypt 14 hours ago,4,Digital Forensics,cybersecurity,2.0,0.1333,,,,,,,
city,Egypt 14 hours ago,5,Cassandra,databases,2.0,0.1333,,,,,,,
city,Egypt 14 hours ago,6,Domain-Driven Design,tools_practices,2.0,0.1333,,,,,,,
city,Egypt 14 hours ago,7,Event-Driven Architecture,tools_practices,2.0,0.1333,,,,,,,
city,Egypt 14 hours ago,8,Design Patterns,tools_practices,1.0,0.0667,,,,,,,
city,Egypt 14 hours ago,9,Airflow,frameworks_libraries,1.0,0.0667,,,,,,,
city,Egypt 15 days ago,1,Data Engineering,data_ml_ai,40.0,0.4444,,,,,,,
city,Egypt 15 days ago,2,iOS Development,mobile,18.0,0.2,,,,,,,
city,Egypt 15 days ago,3,API Design,tools_practices,14.0,0.1556,,,,,,,
city,Egypt 15 days ago,4,Event-Driven Architecture,tools_practices,11.0,0.1222,,,,,,,
city,Egypt 15 days ago,5,Design Patterns,tools_practices,9.0,0.1,,,,,,,
city,Egypt 15 days ago,6,Statistical Analysis,data_ml_ai,8.0,0.0889,,,,,,,
city,Egypt 15 days ago,7,Service Mesh,tools_practices,7.0,0.0778,,,,,,,
city,Egypt 15 days ago,8,Cross-Platform Development,mobile,7.0,0.0778,,,,,,,
city,Egypt 15 days ago,9,Digital Forensics,cybersecurity,6.0,0.0667,,,,,,,
