,.NET,A/B Testing,API Design,AWS,Adobe XD,Agile,Android Development,App Store Deployment,Application Security,Burp Suite,Cassandra,Cross-Platform Development,Data Engineering,Data Warehouse,Deep Learning,Design Patterns,Digital Forensics,Docker,Domain-Driven Design,ELK Stack,Event-Driven Architecture,Feature Engineering,Firebase,GDPR Compliance,Git,ISO 27001,Java,JavaScript,Large Language Models,Microservices,Mobile UI Design,Network Security,Networking,Oracle DB,PHP,Power BI,Python,REST API,React,Recommendation Systems,Reinforcement Learning,SQL,SQL Server,Service Mesh,Statistical Analysis,System Design,TypeScript,Vulnerability Assessment,WebSocket,iOS Development
.NET,0,1,7,0,0,2,1,0,1,0,1,14,23,0,0,1,0,0,1,11,2,0,0,0,1,0,8,8,0,3,0,2,0,2,1,2,0,4,5,3,0,15,12,0,0,1,2,0,5,34
A/B Testing,1,0,5,1,0,6,1,1,0,0,1,3,27,0,0,0,0,1,2,1,3,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,4,0,4,1,0,4,0,0,1,1,23
API Design,7,5,0,7,107,5,10,0,5,17,20,18,305,0,2,317,35,17,115,12,171,3,9,0,31,1,22,20,1,5,11,2,1,0,9,9,14,37,13,34,4,3,1,11,14,14,14,2,11,74
AWS,0,1,7,0,0,1,0,0,0,0,0,2,22,0,1,0,0,15,1,2,3,0,0,0,7,0,2,2,0,2,0,2,0,0,1,0,11,5,2,1,0,2,0,0,0,1,1,0,0,13
Adobe XD,0,0,107,0,0,0,1,0,0,15,1,0,7,0,0,103,11,0,28,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1
Agile,2,6,5,1,0,0,1,0,0,0,0,4,18,0,1,1,0,1,1,1,4,0,0,0,4,0,8,4,0,1,0,0,0,0,1,0,1,2,2,1,1,2,1,0,4,3,3,0,1,25
Android Development,1,1,10,0,1,1,0,2,2,0,12,15,25,0,3,7,1,0,0,2,5,1,2,0,3,0,4,2,0,1,4,1,0,1,0,0,3,3,2,2,2,2,1,6,3,0,1,3,2,37
App Store Deployment,0,1,0,0,0,0,2,0,1,0,0,2,6,3,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,2,1,0,0,0,1,1,0,1,3,0,1,1,3,0,0,0,0,1,5
Application Security,1,0,5,0,0,0,2,1,0,1,4,11,46,0,2,5,1,0,0,1,4,0,1,1,1,0,0,0,1,0,4,14,5,2,0,0,2,0,0,17,2,7,5,11,4,2,0,2,3,49
Burp Suite,0,0,17,0,15,0,0,0,1,0,4,4,17,0,0,16,3,0,2,0,4,0,0,1,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,4,0,2,0,7,6,0,0,0,0,8
Cassandra,1,1,20,0,1,0,12,0,4,4,0,20,113,1,3,10,6,3,5,0,42,4,4,17,0,2,0,0,1,4,1,11,4,1,3,4,0,0,0,20,8,0,0,19,17,4,0,16,0,44
Cross-Platform Development,14,3,18,2,0,4,15,2,11,4,20,0,80,0,5,8,7,1,1,14,12,1,2,6,7,0,11,10,3,2,7,3,5,3,6,4,9,4,6,22,6,13,7,53,19,2,1,4,10,321
Data Engineering,23,27,305,22,7,18,25,6,46,17,113,80,0,4,10,148,10,25,68,22,558,26,22,26,23,14,42,32,9,14,13,39,13,15,11,53,53,12,19,147,17,47,21,100,103,26,11,22,5,392
Data Warehouse,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0
Deep Learning,0,0,2,1,0,1,3,0,2,0,3,5,10,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,0,0,0,10,0,0,4,7,3,0,1,7,1,0,0,1,20
Design Patterns,1,0,317,0,103,1,7,0,5,16,10,8,148,0,0,0,28,0,64,2,94,1,1,0,5,0,8,8,0,0,11,0,0,0,4,2,1,5,3,13,3,0,0,9,11,4,3,0,5,40
Digital Forensics,0,0,35,0,11,0,1,1,1,3,6,7,10,0,0,28,0,0,9,0,6,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,3,2,1,0,12,18,1,0,0,7,24
Docker,0,1,17,15,0,1,0,0,0,0,3,1,25,0,1,0,0,0,0,4,4,0,0,0,17,0,6,3,2,8,0,0,0,0,6,0,19,15,4,1,0,1,1,0,0,0,3,0,0,8
Domain-Driven Design,1,2,115,1,28,1,0,0,0,2,5,1,68,0,0,64,9,0,0,1,40,0,4,0,1,1,1,1,1,0,3,0,0,0,0,4,0,1,1,13,1,1,0,1,1,7,1,1,3,9
ELK Stack,11,1,12,2,0,1,2,0,1,0,0,14,22,0,0,2,0,4,1,0,1,0,0,1,8,0,15,13,0,2,0,0,0,1,6,0,5,11,12,1,0,8,4,0,0,0,4,1,5,29
Event-Driven Architecture,2,3,171,3,8,4,5,1,4,4,42,12,558,1,1,94,6,4,40,1,0,12,1,10,2,3,4,1,0,6,0,2,3,0,3,4,3,2,2,22,9,1,1,14,33,5,0,5,0,45
Feature Engineering,0,0,3,0,0,0,1,0,0,0,4,1,26,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,2,2,0,0,1,0,5
Firebase,0,0,9,0,0,0,2,0,1,0,4,2,22,0,0,1,0,0,4,0,1,1,0,0,4,0,1,1,0,1,1,0,0,0,0,1,0,4,1,17,0,0,0,0,0,2,1,1,0,4
GDPR Compliance,0,1,0,0,0,0,0,1,1,1,17,6,26,2,0,0,0,0,0,1,10,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,5,12,1,0,8,0,14
Git,1,0,31,7,0,4,3,0,1,0,0,7,23,0,1,5,0,17,1,8,2,0,4,0,0,0,27,19,0,1,3,0,0,0,7,0,14,28,14,2,0,6,0,0,0,2,12,0,4,26
ISO 27001,0,1,1,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,3,0,2
Java,8,0,22,2,0,8,4,2,0,0,0,11,42,0,1,8,0,6,1,15,4,0,1,0,27,0,0,55,0,2,4,1,0,0,3,0,8,17,31,4,0,4,3,0,1,2,20,0,4,56
JavaScript,8,0,20,2,0,4,2,1,0,0,0,10,32,0,1,8,0,3,1,13,1,0,1,0,19,0,55,0,0,0,2,0,0,0,6,0,8,16,28,2,0,5,2,0,0,0,20,0,3,47
Large Language Models,0,0,1,0,0,0,0,0,1,1,1,3,9,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,0,3,1,0,0,6,1,0,0,2,0,12
Microservices,3,0,5,2,0,1,1,0,0,0,4,2,14,0,0,0,1,8,0,2,6,1,1,1,1,0,2,0,0,0,0,1,1,0,3,0,3,5,3,1,0,1,3,10,0,0,1,0,0,11
Mobile UI Design,0,2,11,0,3,0,4,2,4,1,1,7,13,0,0,11,0,0,3,0,0,0,1,0,3,0,4,2,0,0,0,1,0,0,0,1,0,2,2,2,1,2,0,1,1,0,0,0,2,18
Network Security,2,1,2,2,0,0,1,1,14,0,11,3,39,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,6,0,0,2,1,0,0,19,1,1,1,11,2,8,0,0,0,37
Networking,0,0,1,0,0,0,0,0,5,1,4,5,13,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,3,0,4,2,1,3,0,0,0,0,20
Oracle DB,2,0,0,0,0,0,1,0,2,2,1,3,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,14,4,0,10,0,0,0,0,23
PHP,1,0,9,1,0,1,0,0,0,0,3,6,11,0,0,4,0,6,0,6,3,0,0,0,7,0,3,6,0,3,0,0,0,0,0,0,0,6,3,2,0,1,0,0,0,0,0,0,0,18
Power BI,2,0,9,0,0,0,0,1,0,1,4,4,53,0,0,2,1,0,4,0,4,0,1,0,0,0,0,0,2,0,1,2,0,1,0,0,3,0,0,15,0,6,1,1,12,2,0,0,0,14
Python,0,0,14,11,0,1,3,1,2,0,0,9,53,0,10,1,0,19,0,5,3,1,0,0,14,0,8,8,6,3,0,1,0,1,0,3,0,9,5,3,2,18,0,0,8,0,1,0,1,43
REST API,4,2,37,5,0,2,3,0,0,0,0,4,12,0,0,5,0,15,1,11,2,0,4,0,28,0,17,16,0,5,2,0,0,0,6,0,9,0,15,3,0,2,2,0,0,0,13,0,5,17
React,5,0,13,2,0,2,2,1,0,0,0,6,19,0,0,3,0,4,1,12,2,0,1,0,14,0,31,28,0,3,2,0,0,0,3,0,5,15,0,3,0,2,3,0,0,1,15,0,2,32
Recommendation Systems,3,4,34,1,0,1,2,3,17,4,20,22,147,6,4,13,3,1,13,1,22,3,17,8,2,4,4,2,3,1,2,19,3,9,2,15,3,3,3,0,4,8,9,19,46,32,0,5,1,88
Reinforcement Learning,0,0,4,0,0,1,2,0,2,0,8,6,17,0,7,3,2,0,1,0,9,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,4,0,0,1,2,2,2,0,1,0,14
SQL,15,4,3,2,0,2,2,1,7,2,0,13,47,0,3,0,1,1,1,8,1,0,0,1,6,0,4,5,0,1,2,1,4,14,1,6,18,2,2,8,0,0,21,2,10,0,2,0,3,60
SQL Server,12,1,1,0,0,1,1,1,5,0,0,7,21,0,0,0,0,1,0,4,1,0,0,0,0,0,3,2,0,3,0,1,2,4,0,1,0,2,3,9,1,21,0,2,2,2,1,0,3,27
Service Mesh,0,0,11,0,2,0,6,3,11,7,19,53,100,2,1,9,12,0,1,0,14,2,0,5,0,1,0,0,6,10,1,11,1,0,0,1,0,0,0,19,2,2,2,0,24,3,0,1,2,145
Statistical Analysis,0,4,14,0,2,4,3,0,4,6,17,19,103,1,7,11,18,0,1,0,33,2,0,12,0,2,1,0,1,0,1,2,3,10,0,12,8,0,0,46,2,10,2,24,0,2,0,3,1,81
System Design,1,0,14,1,0,3,0,0,2,0,4,2,26,0,1,4,1,0,7,0,5,0,2,1,2,0,2,0,0,0,0,8,0,0,0,2,0,0,1,32,2,0,2,3,2,0,0,1,0,20
TypeScript,2,0,14,1,0,3,1,0,0,0,0,1,11,0,0,3,0,3,1,4,0,0,1,0,12,0,20,20,0,1,0,0,0,0,0,0,1,13,15,0,0,2,1,0,0,0,0,0,1,13
Vulnerability Assessment,0,1,2,0,0,0,3,0,2,0,16,4,22,0,0,0,0,0,1,1,5,1,1,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,0,0,0,9
WebSocket,5,1,11,0,1,1,2,1,3,0,0,10,5,0,1,5,7,0,3,5,0,0,0,0,4,0,4,3,0,0,2,0,0,0,0,0,1,5,2,1,0,3,3,2,1,0,1,0,0,17
iOS Development,34,23,74,13,1,25,37,5,49,8,44,321,392,0,20,40,24,8,9,29,45,5,4,14,26,2,56,47,12,11,18,37,20,23,18,14,43,17,32,88,14,60,27,145,81,20,13,9,17,0
